nombre,x,y,cuarto,tiempo,equipo_local,resultado_local,resultado_visitante,equipo_visitante,descripcion,anotado,id_partido,jornada,temporada,competicion,playoff
G. Deck,35.333727530747396,160.99999999999997,1C,09:48,Real Madrid,2,0,UCAM Murcia,Tiro de 2,True,103997,1,2023-2024,Copa del Rey,False
G. Deck,38.36835383159887,164.91666666666666,1C,06:34,Real Madrid,11,6,UCAM Murcia,Tiro de 2,True,103997,1,2023-2024,Copa del Rey,False
G. Deck,88.30856196783348,181.54999999999998,1C,05:49,Real Madrid,11,8,UCAM Murcia,Tiro de 2,False,103997,1,2023-2024,Copa del Rey,False
G. Deck,34.97781456953643,164.70000000000002,1C,04:49,Real Madrid,13,11,UCAM Murcia,Tiro de 2,True,103997,1,2023-2024,Copa del Rey,False
G. Deck,24.75,141.25,2C,01:00,Real Madrid,44,29,UCAM Murcia,Mate,True,103997,1,2023-2024,Copa del Rey,False
G. Deck,30.182355723746454,116.95,3C,09:45,Real Madrid,46,34,UCAM Murcia,Tiro de 2,True,103997,1,2023-2024,Copa del Rey,False
G. Deck,52.30515610217597,23.166666666666668,3C,05:45,Real Madrid,53,44,UCAM Murcia,Triple,False,103997,1,2023-2024,Copa del Rey,False
G. Deck,24.75,141.25,4C,01:29,Real Madrid,77,72,UCAM Murcia,Mate,True,103997,1,2023-2024,Copa del Rey,False
G. Yabusele,49.83249763481552,98.76666666666667,1C,08:46,Real Madrid,4,0,UCAM Murcia,Tiro de 2,True,103997,1,2023-2024,Copa del Rey,False
G. Yabusele,33.25444654683066,25.15,1C,07:43,Real Madrid,9,4,UCAM Murcia,Triple,True,103997,1,2023-2024,Copa del Rey,False
G. Yabusele,58.97384105960265,170.45,1C,07:10,Real Madrid,9,4,UCAM Murcia,Tiro de 2,False,103997,1,2023-2024,Copa del Rey,False
G. Yabusele,30.201087984862824,113.81666666666666,3C,06:09,Real Madrid,53,42,UCAM Murcia,Tiro de 2,False,103997,1,2023-2024,Copa del Rey,False
G. Yabusele,39.754541154210024,73.7,3C,05:28,Real Madrid,53,44,UCAM Murcia,Tiro de 2,False,103997,1,2023-2024,Copa del Rey,False
