nombre,x,y,cuarto,tiempo,equipo_local,resultado_local,resultado_visitante,equipo_visitante,descripcion,anotado,id_partido,jornada,temporada,competicion,playoff
C. Jones,128.22701,224.5,1C,09:46,Valencia Basket,3,0,Hiopos Lleida,Triple,True,104169,14,2024-2025,Liga Endesa,False
C. Jones,154.957947,190.733333,1C,09:08,Valencia Basket,3,3,Hiopos Lleida,Triple,False,104169,14,2024-2025,Liga Endesa,False
C. Jones,33.666556,152.666667,1C,06:21,Valencia Basket,11,12,Hiopos Lleida,Tiro de 2,True,104169,14,2024-2025,Liga Endesa,False
C. Jones,35.427389,129.433333,2C,05:28,Valencia Basket,34,35,Hiopos Lleida,Tiro de 2,False,104169,14,2024-2025,Liga Endesa,False
C. Jones,151.267692,107.2,3C,09:51,Valencia Basket,52,43,Hiopos Lleida,Triple,True,104169,14,2024-2025,Liga Endesa,False
C. Jones,143.175355,226.483333,4C,02:27,Valencia Basket,100,82,Hiopos Lleida,Triple,False,104169,14,2024-2025,Liga Endesa,False
C. Jones,124.068448,232.45,4C,02:20,Valencia Basket,103,82,Hiopos Lleida,Triple,True,104169,14,2024-2025,Liga Endesa,False
C. Jones,49.551514,141.533333,4C,00:20,Valencia Basket,107,92,Hiopos Lleida,Tiro de 2,False,104169,14,2024-2025,Liga Endesa,False
S. Ojeleye,107.996168,238.616667,1C,08:31,Valencia Basket,3,8,Hiopos Lleida,Triple,False,104169,14,2024-2025,Liga Endesa,False
S. Ojeleye,132.291911,215.55,1C,08:27,Valencia Basket,6,8,Hiopos Lleida,Triple,True,104169,14,2024-2025,Liga Endesa,False
S. Ojeleye,28.515184,258.966667,1C,07:50,Valencia Basket,6,8,Hiopos Lleida,Triple,False,104169,14,2024-2025,Liga Endesa,False
S. Ojeleye,24.75,258.366667,1C,07:23,Valencia Basket,9,10,Hiopos Lleida,Triple,True,104169,14,2024-2025,Liga Endesa,False
S. Ojeleye,478.258042,128.15,2C,09:23,Valencia Basket,26,29,Hiopos Lleida,Triple,False,104169,14,2024-2025,Liga Endesa,False
S. Ojeleye,115.264286,49.55,2C,09:14,Valencia Basket,26,29,Hiopos Lleida,Triple,False,104169,14,2024-2025,Liga Endesa,False
S. Ojeleye,24.75,26.483333,2C,00:40,Valencia Basket,47,41,Hiopos Lleida,Triple,False,104169,14,2024-2025,Liga Endesa,False
S. Ojeleye,85.273936,152.166667,3C,06:51,Valencia Basket,61,54,Hiopos Lleida,Tiro de 2,True,104169,14,2024-2025,Liga Endesa,False
S. Ojeleye,117.624551,52.183333,3C,01:28,Valencia Basket,74,62,Hiopos Lleida,Triple,True,104169,14,2024-2025,Liga Endesa,False
S. Ojeleye,44.812252,156.8,3C,00:40,Valencia Basket,76,65,Hiopos Lleida,Tiro de 2,False,104169,14,2024-2025,Liga Endesa,False
S. Ojeleye,94.17176,241.85,4C,08:55,Valencia Basket,81,65,Hiopos Lleida,Triple,False,104169,14,2024-2025,Liga Endesa,False
S. Ojeleye,108.164759,234.283333,4C,08:20,Valencia Basket,86,67,Hiopos Lleida,Triple,True,104169,14,2024-2025,Liga Endesa,False
B. Badio,24.75,157.05,1C,07:47,Valencia Basket,6,8,Hiopos Lleida,Tiro de 2,False,104169,14,2024-2025,Liga Endesa,False
B. Badio,115.676395,54.4,1C,06:55,Valencia Basket,9,10,Hiopos Lleida,Triple,False,104169,14,2024-2025,Liga Endesa,False
B. Badio,82.894939,249.1,1C,01:21,Valencia Basket,23,24,Hiopos Lleida,Triple,False,104169,14,2024-2025,Liga Endesa,False
B. Badio,108.370814,236.5,1C,00:59,Valencia Basket,23,24,Hiopos Lleida,Triple,False,104169,14,2024-2025,Liga Endesa,False
B. Badio,116.444418,51.55,2C,09:30,Valencia Basket,26,29,Hiopos Lleida,Triple,False,104169,14,2024-2025,Liga Endesa,False
B. Badio,61.427767,175.25,2C,09:01,Valencia Basket,26,29,Hiopos Lleida,Tiro de 2,False,104169,14,2024-2025,Liga Endesa,False
B. Badio,27.971949,154.85,2C,00:04,Valencia Basket,49,43,Hiopos Lleida,Tiro de 2,False,104169,14,2024-2025,Liga Endesa,False
López-Arostegui,112.885289,49.65,1C,05:49,Valencia Basket,14,12,Hiopos Lleida,Triple,True,104169,14,2024-2025,Liga Endesa,False
López-Arostegui,117.324834,45.883333,1C,05:14,Valencia Basket,14,12,Hiopos Lleida,Triple,False,104169,14,2024-2025,Liga Endesa,False
López-Arostegui,32.655014,130.966667,1C,04:23,Valencia Basket,14,14,Hiopos Lleida,Tiro de 2,False,104169,14,2024-2025,Liga Endesa,False
