nombre,x,y,cuarto,tiempo,equipo_local,resultado_local,resultado_visitante,equipo_visitante,descripcion,anotado,id_partido,jornada,temporada,competicion,playoff
D. Dotson,112.791627,233.5,1C,09:36,Joventut Badalona,0,0,Bàsquet Girona,Triple,False,104097,6,2024-2025,Liga Endesa,False
D. Dotson,135.382734,208.783333,1C,08:44,Joventut Badalona,2,3,Bàsquet Girona,Triple,False,104097,6,2024-2025,Liga Endesa,False
D. Dotson,34.809224,258.8,1C,07:09,Joventut Badalona,4,3,Bàsquet Girona,Triple,False,104097,6,2024-2025,Liga Endesa,False
D. Dotson,102.657474,173.0,1C,05:07,Joventut Badalona,8,9,Bàsquet Girona,Tiro de 2,False,104097,6,2024-2025,Liga Endesa,False
D. Dotson,105.486045,188.1,2C,04:47,Joventut Badalona,27,22,Bàsquet Girona,Tiro de 2,True,104097,6,2024-2025,Liga Endesa,False
D. Dotson,97.768354,182.583333,2C,03:54,Joventut Badalona,27,22,Bàsquet Girona,Tiro de 2,False,104097,6,2024-2025,Liga Endesa,False
D. Dotson,159.828335,130.383333,2C,01:47,Joventut Badalona,31,22,Bàsquet Girona,Triple,False,104097,6,2024-2025,Liga Endesa,False
D. Dotson,41.421712,141.3,3C,06:20,Joventut Badalona,38,30,Bàsquet Girona,Tiro de 2,True,104097,6,2024-2025,Liga Endesa,False
D. Dotson,38.106102,123.483333,3C,05:59,Joventut Badalona,40,30,Bàsquet Girona,Tiro de 2,True,104097,6,2024-2025,Liga Endesa,False
D. Dotson,142.538458,147.3,4C,05:44,Joventut Badalona,71,54,Bàsquet Girona,Tiro de 2,True,104097,6,2024-2025,Liga Endesa,False
D. Dotson,73.659934,26.166667,4C,02:31,Joventut Badalona,77,65,Bàsquet Girona,Triple,False,104097,6,2024-2025,Liga Endesa,False
D. Dotson,34.809224,128.6,4C,00:33,Joventut Badalona,83,68,Bàsquet Girona,Tiro de 2,True,104097,6,2024-2025,Liga Endesa,False
D. Dotson,98.330322,138.833333,4C,00:05,Joventut Badalona,83,68,Bàsquet Girona,Tiro de 2,False,104097,6,2024-2025,Liga Endesa,False
K. Gates,33.704021,130.083333,1C,09:27,Joventut Badalona,2,0,Bàsquet Girona,Tiro de 2,True,104097,6,2024-2025,Liga Endesa,False
K. Gates,98.217928,248.083333,1C,08:10,Joventut Badalona,2,3,Bàsquet Girona,Triple,False,104097,6,2024-2025,Liga Endesa,False
K. Gates,47.547162,126.483333,3C,04:16,Joventut Badalona,47,33,Bàsquet Girona,Tiro de 2,True,104097,6,2024-2025,Liga Endesa,False
K. Gates,143.306481,197.4,3C,03:46,Joventut Badalona,50,36,Bàsquet Girona,Triple,True,104097,6,2024-2025,Liga Endesa,False
K. Gates,24.75,254.783333,4C,06:32,Joventut Badalona,66,51,Bàsquet Girona,Triple,False,104097,6,2024-2025,Liga Endesa,False
