nombre,x,y,cuarto,tiempo,equipo_local,resultado_local,resultado_visitante,equipo_visitante,descripcion,anotado,id_partido,jornada,temporada,competicion,playoff
J. Vesely,87.858988,132.866667,1C,09:49,Barça,0,0,Real Madrid,Tiro de 2,False,103868,1,2023-2024,Supercopa Endesa,False
J. Vesely,56.913292,135.066667,1C,08:35,Barça,1,0,Real Madrid,Tiro de 2,False,103868,1,2023-2024,Supercopa Endesa,False
J. Vesely,48.914617,145.466667,1C,02:18,Barça,16,15,Real Madrid,Tiro de 2,False,103868,1,2023-2024,Supercopa Endesa,False
J. Vesely,103.144513,124.233333,3C,09:15,Barça,45,44,Real Madrid,Tiro de 2,True,103868,1,2023-2024,Supercopa Endesa,False
J. Vesely,55.845553,180.75,3C,07:53,Barça,45,48,Real Madrid,Tiro de 2,False,103868,1,2023-2024,Supercopa Endesa,False
J. Vesely,69.126727,149.783333,3C,07:16,Barça,45,50,Real Madrid,Tiro de 2,False,103868,1,2023-2024,Supercopa Endesa,False
J. Vesely,55.56457,69.8,3C,06:09,Barça,48,52,Real Madrid,Tiro de 2,False,103868,1,2023-2024,Supercopa Endesa,False
J. Vesely,42.957758,152.733333,4C,07:42,Barça,61,70,Real Madrid,Tiro de 2,False,103868,1,2023-2024,Supercopa Endesa,False
J. Vesely,37.26315,148.833333,4C,06:38,Barça,64,73,Real Madrid,Tiro de 2,True,103868,1,2023-2024,Supercopa Endesa,False
J. Vesely,33.985005,141.983333,4C,03:29,Barça,68,83,Real Madrid,Tiro de 2,True,103868,1,2023-2024,Supercopa Endesa,False
O. Da Silva,24.75,141.25,1C,07:55,Barça,3,0,Real Madrid,Mate,True,103868,1,2023-2024,Supercopa Endesa,False
O. Da Silva,24.75,256.733333,2C,03:47,Barça,35,34,Real Madrid,Triple,True,103868,1,2023-2024,Supercopa Endesa,False
O. Da Silva,43.351135,155.45,3C,08:27,Barça,45,46,Real Madrid,Tiro de 2,False,103868,1,2023-2024,Supercopa Endesa,False
W. Hernangómez,39.792006,140.516667,1C,07:31,Barça,3,2,Real Madrid,Tiro de 2,False,103868,1,2023-2024,Supercopa Endesa,False
W. Hernangómez,88.645743,142.85,2C,08:23,Barça,27,23,Real Madrid,Tiro de 2,False,103868,1,2023-2024,Supercopa Endesa,False
W. Hernangómez,65.043094,145.95,3C,02:03,Barça,58,61,Real Madrid,Tiro de 2,False,103868,1,2023-2024,Supercopa Endesa,False
W. Hernangómez,39.773273,151.2,3C,01:38,Barça,58,63,Real Madrid,Tiro de 2,False,103868,1,2023-2024,Supercopa Endesa,False
W. Hernangómez,35.876963,156.483333,4C,08:52,Barça,59,68,Real Madrid,Tiro de 2,False,103868,1,2023-2024,Supercopa Endesa,False
